id,Month,State,temp
1,12,New South Wales,26.164717741935462
2,1,New South Wales,28.410483870967767
3,2,New South Wales,27.351768488745996
4,3,New South Wales,25.22414995640806
5,4,New South Wales,22.11303030303031
6,5,New South Wales,19.589799476896218
7,6,New South Wales,16.96831955922865
8,7,New South Wales,16.33040078201365
9,8,New South Wales,17.987194525904183
10,9,New South Wales,20.259696969696954
11,10,New South Wales,22.368621700879743
12,11,New South Wales,25.31161616161614
13,11,Australian Capital Territory,25.203666666666663
14,12,Australian Capital Territory,26.908960573476687
15,1,Australian Capital Territory,29.88645161290324
16,2,Australian Capital Territory,27.701176470588226
17,3,Australian Capital Territory,25.255483870967737
18,4,Australian Capital Territory,20.60518518518517
19,5,Australian Capital Territory,16.68064516129032
20,6,Australian Capital Territory,13.457966101694923
21,7,Australian Capital Territory,12.427956989247308
22,8,Australian Capital Territory,14.063082437275988
23,9,Australian Capital Territory,17.668888888888883
24,10,Australian Capital Territory,21.219354838709695
25,12,Victoria,25.10286738351258
26,1,Victoria,27.1291517323775
27,2,Victoria,26.331268436578114
28,3,Victoria,24.03500597371569
29,4,Victoria,19.98680555555556
30,5,Victoria,16.59665471923536
31,6,Victoria,13.810566037735828
32,7,Victoria,13.320013166556947
33,8,Victoria,14.650625411454918
34,9,Victoria,17.238435374149667
35,10,Victoria,20.227649769585287
36,11,Victoria,23.22435374149662
37,7,Queensland,24.477548387096807
38,8,Queensland,25.628516129032302
39,9,Queensland,27.56706666666664
40,10,Queensland,28.722580645161315
41,11,Queensland,30.134933333333368
42,12,Queensland,31.075000000000028
43,1,Queensland,31.214575866188767
44,2,Queensland,31.235988200589993
45,3,Queensland,30.36367980884107
46,4,Queensland,29.00916666666666
47,5,Queensland,26.717204301075242
48,6,Queensland,24.815974842767314
49,7,South Australia,15.382437275985675
50,8,South Australia,16.671326164874543
51,9,South Australia,19.69481481481482
52,10,South Australia,23.14086021505377
53,11,South Australia,26.378148148148156
54,12,South Australia,28.158870967741933
55,1,South Australia,30.95412186379929
56,2,South Australia,30.05353982300885
57,3,South Australia,27.105734767025076
58,4,South Australia,23.317083333333343
59,5,South Australia,19.183512544802863
60,6,South Australia,16.173962264150937
61,12,Western Australia,24.781451612903236
62,1,Western Australia,27.677956989247313
63,2,Western Australia,27.422345132743345
64,3,Western Australia,26.03870967741936
65,4,Western Australia,23.51041666666666
66,5,Western Australia,20.732258064516127
67,6,Western Australia,18.665471698113198
68,7,Western Australia,17.389943074003813
69,8,Western Australia,18.251612903225794
70,9,Western Australia,19.28392156862746
71,10,Western Australia,21.882352941176478
72,11,Western Australia,24.0913725490196
73,7,Tasmania,12.940037950664133
74,8,Tasmania,13.98747628083491
75,9,Tasmania,16.338627450980386
76,10,Tasmania,18.074952561669825
77,11,Tasmania,20.036078431372538
78,12,Tasmania,21.883669354838712
79,1,Tasmania,24.174014336917587
80,2,Tasmania,23.69800884955754
81,3,Tasmania,22.277956989247322
82,4,Tasmania,18.960416666666653
83,5,Tasmania,15.58512544802867
84,6,Tasmania,13.180566037735849
85,7,Northern Territory,31.38853046594982
86,8,Northern Territory,32.10752688172043
87,9,Northern Territory,33.36333333333331
88,10,Northern Territory,34.00322580645162
89,11,Northern Territory,33.70333333333331
90,12,Northern Territory,32.71975806451612
91,1,Northern Territory,31.999641577060917
92,2,Northern Territory,31.924336283185845
93,3,Northern Territory,32.53978494623655
94,4,Northern Territory,33.16833333333332
95,5,Northern Territory,32.35448028673835
96,6,Northern Territory,31.08415094339623
